Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
STEAP3	PICK1	CYBA	CXCL14
STEAP4	PIEZO2	CYBB	CXCL16
STH	PIF1	CYBRD1	CXCL17
STIL	PIGA	CYC1	CXCL2
STIM1	PIGB	CYCS	CXCL3
STK10	PIGL	CYFIP1	CXCL5
STK11	PIGM	CYFIP2	CXCL6
STK19	PIGN	CYGB	CXCL8
STK3	PIGO	CYHR1	CXCL9
STK32A	PIGR	CYLC1	CXCR1
STK33	PIGV	CYLC2	CXCR2
STK39	PIGW	CYLD	CXCR2P1
STK4	PIK3C2G	CYorf17	CXCR3
STMN1	PIK3C3	CYP11A1	CXCR4
STOX1	PIK3CA	CYP11B1	CXCR5
STRA6	PIK3CB	CYP11B2	CXCR6
STRADA	PIK3CD	CYP17A1	CXorf21
STRC	PIK3CG	CYP19A1	CXorf23
STS	PIK3R1	CYP1A1	CXorf30
STX11	PIK3R2	CYP1A2	CXorf36
STX16	PIK3R4	CYP1B1	CXorf38
STX1A	PIK3R5	CYP20A1	CXorf40A
STXBP1	PIKFYVE	CYP21A1P	CXorf40B
STXBP2	PIN1	CYP21A2	CXorf49
STXBP5	PINK1	CYP24A1	CXorf49B
SUCLA2	PINK1-AS	CYP26A1	CXorf51A
SUCLG1	PIP4K2A	CYP26B1	CXorf51B
SUFU	PIP5K1B	CYP26C1	CXorf56
SULF1	PIP5K1C	CYP27A1	CXorf57
SULT1A1	PITPNM3	CYP27B1	CXorf58
SULT1A3	PITX1	CYP27C1	CXorf65
SULT1C2	PITX2	CYP2A13	CXorf66
SULT1E1	PITX3	CYP2A6	CXorf67
SULT2A1	PIWIL3	CYP2A7	CXXC1
SULT2B1	PKD1	CYP2B6	CXXC4
SULT4A1	PKD1L1	CYP2B7P	CXXC5
SUMF1	PKD2	CYP2C18	CYB561
SUMO1	PKHD1	CYP2C19	CYB561A3
SUMO4	PKLR	CYP2C8	CYB561D1
SUN2	PKM	CYP2C9	CYB561D2
SUOX	PKN3	CYP2D6	CYB5A
SUPT16H	PKP1	CYP2D7P	CYB5B
SURF1	PKP2	CYP2E1	CYB5D1
SUV420H1	PLA2G10	CYP2F1	CYB5D2
SV2B	PLA2G2A	CYP2G1P	CYB5R1
SYCP3	PLA2G2D	CYP2J2	CYB5R2
SYN1	PLA2G4A	CYP2R1	CYB5R3
SYN3	PLA2G4C	CYP2S1	CYB5R4
SYNE1	PLA2G5	CYP2U1	CYB5RL
SYNE2	PLA2G6	CYP2W1	CYBA
SYNGAP1	PLA2G7	CYP39A1	CYBB
SYNGR1	PLAG1	CYP3A4	CYBRD1
SYNM	PLAGL1	CYP3A43	CYC1
SYNPO	PLAT	CYP3A5	CYCS
SYP	PLAU	CYP3A7	CYFIP1
SYT11	PLAUR	CYP3A7-CYP3AP1	CYFIP2
SYT14	PLCB1	CYP46A1	CYGB
SYT2	PLCB4	CYP4A11	CYHR1
SYTL3	PLCD1	CYP4A22	CYLC1
SYTL5	PLCE1	CYP4B1	CYLC2
T	PLCE1-AS1	CYP4F11	CYLD
TAAR6	PLCG2	CYP4F12	CYP11A1
TAAR9	PLCZ1	CYP4F2	CYP11B1
TAB2	PLD2	CYP4F22	CYP11B2
TAC3	PLEC	CYP4F24P	CYP17A1
TACO1	PLEKHG4	CYP4F3	CYP19A1
TACR3	PLEKHG5	CYP4F8	CYP1A1
TACSTD2	PLEKHM1	CYP4V2	CYP1A2
TAF1	PLG	CYP4X1	CYP1B1
TAF15	PLIN1	CYP4Z1	CYP20A1
TAF1C	PLIN4	CYP4Z2P	CYP21A1P
TAF1L	PLN	CYP51A1	CYP21A2
TAF2	PLOD1	CYP7A1	CYP24A1
TAF7L	PLOD2	CYP7B1	CYP26A1
TAL1	PLOD3	CYP8B1	CYP26B1
TALDO1	PLP1	CYR61	CYP26C1
TAP1	PLP2	CYS1	CYP27A1
TAP2	PLTP	CYSLTR1	CYP27B1
TAPBP	PLXND1	CYSLTR2	CYP27C1
TARDBP	PMAIP1	CYSTM1	CYP2A13
TAS1R1	PML	CYTH1	CYP2A6
TAS1R2	PMM2	CYTH2	CYP2A7
TAS1R3	PMP22	CYTH3	CYP2B6
TAS2R16	PMPCA	CYTH4	CYP2B7P
TAS2R19	PMS1	CYTIP	CYP2C18
TAS2R3	PMS2	CYTL1	CYP2C19
TAS2R38	PMS2P3	CYYR1	CYP2C8
TAS2R43	PNKD	D2HGDH	CYP2C9
TAS2R46	PNKP	DAAM1	CYP2D6
TAS2R50	PNLIP	DAAM2	CYP2D7
TAS2R9	PNMT	DAB1	CYP2E1
TAT	PNP	DAB2	CYP2F1
TAZ	PNPLA1	DAB2IP	CYP2G1P
TBC1D1	PNPLA2	DACH1	CYP2J2
TBC1D23	PNPLA3	DACH2	CYP2R1
TBC1D24	PNPLA6	DACT1	CYP2S1
TBC1D4	PNPO	DACT2	CYP2U1
TBCE	PNPT1	DACT3	CYP2W1
TBK1	POC1A	DAD1	CYP39A1
TBL1X	POF1B	DAG1	CYP3A4
TBL1XR1	POGZ	DAGLA	CYP3A43
TBL1Y	POLA1	DAGLB	CYP3A5
TBP	POLB	DAK	CYP3A7
TBX1	POLD1	DALRD3	CYP3A7-CYP3A51P
TBX10	POLE	DANCR	CYP46A1
TBX15	POLE2	DAND5	CYP4A11
TBX19	POLG	DAO	CYP4A22
TBX2	POLG2	DAOA	CYP4B1
TBX20	POLH	DAOA-AS1	CYP4F11
TBX21	POLK	DAP	CYP4F12
TBX22	POLL	DAP3	CYP4F2
TBX3	POLQ	DAPK1	CYP4F22
TBX4	POLR1C	DAPK2	CYP4F24P
TBX5	POLR1D	DAPK3	CYP4F3
TBX6	POLR2B	DAPL1	CYP4F8
TBXA2R	POLR2E	DAPP1	CYP4V2
TBXAS1	POLR2M	DARS	CYP4X1
TCAP	POLR3A	DARS2	CYP4Z1
TCF21	POLR3B	DAW1	CYP51A1
TCF4	POLR3D	DAXX	CYP51A1-AS1
TCF7	POLR3H	DAZAP1	CYP7A1
TCF7L1	POLRMT	DAZAP2	CYP7B1
TCF7L2	POMC	DAZL	CYP8B1
TCIRG1	POMGNT1	DBF4	CYR61
TCN1	POMGNT2	DBF4B	CYS1
TCN2	POMK	DBH	CYSLTR1
TCOF1	POMP	DBH-AS1	CYSLTR2
TCP1	POMT1	DBI	CYSRT1
TCTE1	POMT2	DBIL5P	CYSTM1
TCTE3	PON1	DBN1	CYTH1
TCTN1	PON2	DBNDD1	CYTH2
TCTN2	PON3	DBNDD2	CYTH3
TDGF1	POP1	DBNL	CYTH4
TDO2	POR	DBP	CYTIP
TDP1	PORCN	DBR1	CYTL1
TDRD7	POU1F1	DBT	CYYR1
TEAD1	POU3F4	DBX1	D2HGDH
TECR	POU4F3	DBX2	DAAM1
TECTA	POU5F1	DCAF10	DAAM2
TEK	POU6F2	DCAF11	DAB1
TEKT2	PPAN-P2RY11	DCAF12	DAB2
TENM4	PPARA	DCAF12L1	DAB2IP
TEP1	PPARD	DCAF12L2	DACH1
TERC	PPARG	DCAF13	DACH2
TERT	PPARGC1A	DCAF15	DACT1
TET1	PPARGC1B	DCAF16	DACT2
TEX14	PPAT	DCAF17	DACT3
TF	PPIA	DCAF4	DAD1
TFAM	PPIB	DCAF4L1	DAG1
TFAP2A	PPIG	DCAF4L2	DAGLA
TFAP2B	PPM1B	DCAF5	DAGLB
TFB1M	PPM1D	DCAF6	DAK
TFCP2	PPM1E	DCAF7	DALRD3
TFF1	PPOX	DCAF8	DANCR
TFPI	PPP1R1A	DCAF8L1	DAND5
TFR2	PPP1R3A	DCAF8L2	DAO
TFRC	PPP1R3C	DCAKD	DAOA
TG	PPP2R1A	DCBLD1	DAOA-AS1
TGFB1	PPP2R1B	DCBLD2	DAP
TGFB2	PPP2R2B	DCC	DAP3
TGFB3	PPP2R2C	DCD	DAPK1
TGFBI	PPP2R5D	DCDC1	DAPK2
TGFBR1	PPP6C	DCDC2	DAPK3
TGFBR2	PPT1	DCDC2B	DAPL1
TGFBR3	PPY	DCDC2C	DAPP1
TGFBRAP1	PQBP1	DCDC5	DARS
TGIF1	PQLC2	DCHS1	DARS2
TGM1	PRB3	DCHS2	DARS-AS1
TGM2	PRB4	DCK	DAW1
TGM5	PRCC	DCLK1	DAXX
TGM6	PRCD	DCLK2	DAZ1
TH	PRCP	DCLK3	DAZ2
THADA	PRDM16	DCLRE1A	DAZ3
THAP1	PRDM2	DCLRE1B	DAZ4
THBD	PRDM5	DCLRE1C	DAZAP1
THBS1	PRDM9	DCN	DAZAP2
THBS2	PREPL	DCP1A	DAZL
THBS4	PREX2	DCP1B	DBET
THPO	PRF1	DCP2	DBF4
THRA	PRG4	DCPS	DBF4B
THRB	PRICKLE1	DCST1	DBH
THSD7A	PRICKLE2	DCST2	DBH-AS1
TICAM1	PRICKLE2-AS1	DCSTAMP	DBI
TIMM44	PRICKLE2-AS3	DCT	DBIL5P
TIMM8A	PRKAA2	DCTD	DBN1
TIMP1	PRKACA	DCTN1	DBNDD1
TIMP2	PRKAG2	DCTN2	DBNDD2
TIMP3	PRKAG3	DCTN3	DBNL
TINAG	PRKAR1A	DCTN4	DBP
TINF2	PRKAR1B	DCTN5	DBR1
TIRAP	PRKCA	DCTN6	DBT
TJP2	PRKCB	DCTPP1	DBX1
TK2	PRKCD	DCUN1D1	DBX2
TLK1	PRKCG	DCUN1D2	DCAF10
TLL1	PRKCH	DCUN1D3	DCAF11
TLR1	PRKCSH	DCUN1D4	DCAF12
TLR10	PRKD2	DCUN1D5	DCAF12L1
TLR2	PRKD3	DCX	DCAF12L2
TLR3	PRKDC	DCXR	DCAF13
TLR4	PRKG1	DDA1	DCAF15
TLR5	PRKRA	DDAH1	DCAF16
TLR6	PRL	DDAH2	DCAF17
TLR7	PRLHR	DDB1	DCAF4
TLR8	PRLR	DDB2	DCAF4L1
TLR9	PRM1	DDC	DCAF4L2
TM4SF19	PRM2	DDHD1	DCAF5
TMC1	PRMT3	DDHD2	DCAF6
TMC6	PRMT7	DDI1	DCAF7
TMC8	PRMT9	DDI2	DCAF8
TMCO1	PRND	DDIT3	DCAF8L1
TMEM114	PRNP	DDIT4	DCAF8L2
TMEM126A	PROC	DDIT4L	DCAKD
TMEM127	PROCR	DDN	DCANP1
TMEM135	PRODH	DDO	DCBLD1
TMEM138	PROK1	DDOST	DCBLD2
TMEM165	PROK2	DDR1	DCC
TMEM173	PROKR1	DDR2	DCD
TMEM185A	PROKR2	DDRGK1	DCDC1
TMEM187	PROM1	DDT	DCDC2
TMEM2	PROP1	DDTL	DCDC2B
TMEM216	PROS1	DDX1	DCDC2C
TMEM237	PROX2	DDX10	DCDC5
TMEM39A	PROZ	DDX11	DCHS1
TMEM43	PRPF3	DDX12P	DCHS2
TMEM67	PRPF31	DDX17	DCK
TMEM70	PRPF6	DDX18	DCLK1
TMEM8A	PRPF8	DDX19A	DCLK2
TMEM9	PRPH	DDX19B	DCLK3
TMIE	PRPH2	DDX20	DCLRE1A
TMLHE	PRPS1	DDX21	DCLRE1B
TMPO	PRPS2	DDX23	DCLRE1C
TMPRSS11A	PRR19	DDX24	DCN
TMPRSS15	PRRC2A	DDX25	DCP1A
TMPRSS3	PRRT2	DDX26B	DCP1B
TMPRSS4	PRRX1	DDX27	DCP2
TMPRSS5	PRSS1	DDX28	DCPS
TMPRSS6	PRSS12	DDX31	DCST1
TNC	PRSS2	DDX39A	DCST2
TNF	PRSS3P2	DDX39B	DCSTAMP
TNFAIP2	PRSS56	DDX3X	DCT
TNFAIP3	PRSS8	DDX3Y	DCTD
TNFRSF10A	PRX	DDX4	DCTN1
TNFRSF10B	PSAP	DDX41	DCTN2
TNFRSF11A	PSAT1	DDX42	DCTN3
TNFRSF11B	PSCA	DDX43	DCTN4
TNFRSF13B	PSEN1	DDX46	DCTN5
TNFRSF13C	PSEN2	DDX47	DCTN6
TNFRSF1A	PSENEN	DDX49	DCTPP1
TNFRSF1B	PSMA3	DDX5	DCUN1D1
TNFRSF25	PSMA6	DDX50	DCUN1D2
TNFRSF4	PSMA7	DDX51	DCUN1D3
TNFSF10	PSMB4	DDX52	DCUN1D4
TNFSF11	PSMB8	DDX53	DCUN1D5
TNFSF13B	PSMB9	DDX54	DCX
TNFSF14	PSMC3IP	DDX55	DCXR
TNFSF15	PSMD7	DDX56	DDA1
TNFSF4	PSPC1	DDX58	DDAH1
TNFSF8	PSPH	DDX59	DDAH2
TNKS	PSPN	DDX6	DDB1
TNNC1	PSTPIP1	DDX60	DDB2
TNNI2	PTAFR	DDX60L	DDC
TNNI3	PTCD1	DEAF1	DDC-AS1
TNNI3K	PTCH1	DEAR	DDHD1
TNNT1	PTCH2	Dec-01	DDHD2
TNNT2	PTCHD1	DECR1	DDI1
TNNT3	PTCHD3	DECR2	DDI2
TNP1	PTCSC3	DEDD	DDIAS
TNR	PTDSS1	DEDD2	DDIT3
TNS3	PTEN	DEF6	DDIT4
TNXB	PTF1A	DEF8	DDIT4L
TOMM40	PTGDR	DEFA4	DDN
TOP1MT	PTGDR2	DEFA5	DDO
TOPBP1	PTGDS	DEFA6	DDOST
TOPORS	PTGER2	DEFB1	DDR1
TOR1A	PTGER4	DEFB103A	DDR2
TOX3	PTGES2	DEFB103B	DDRGK1
TP53	PTGIR	DEFB104A	DDT
TP53AIP1	PTGIS	DEFB104B	DDTL
TP53BP1	PTGS1	DEFB105A	DDX1
TP53I3	PTGS2	DEFB105B	DDX10
TP53RK	PTH	DEFB106A	DDX11
TP63	PTH1R	DEFB106B	DDX11L1
TP73	PTHLH	DEFB107A	DDX11L2
TPCN2	PTK2B	DEFB107B	DDX11L9
TPH1	PTK7	DEFB110	DDX12P
TPH2	PTPLA	DEFB112	DDX17
TPI1	PTPN1	DEFB113	DDX18
TPK1	PTPN11	DEFB114	DDX19A
TPM1	PTPN13	DEFB115	DDX19B
TPM2	PTPN14	DEFB116	DDX20
TPM3	PTPN18	DEFB118	DDX21
TPMT	PTPN2	DEFB119	DDX23
TPO	PTPN21	DEFB121	DDX24
TPP1	PTPN22	DEFB123	DDX25
TPP2	PTPN6	DEFB124	DDX26B
TPRN	PTPRB	DEFB125	DDX27
TPSB2	PTPRC	DEFB126	DDX28
TPTE	PTPRCAP	DEFB127	DDX31
TRAC	PTPRD	DEFB128	DDX39A
TRADD	PTPRF	DEFB129	DDX39B
TRAF3	PTPRJ	DEFB132	DDX3X
TRAF3IP1	PTPRK	DEFB133	DDX3Y
TRAF3IP2	PTPRO	DEFB134	DDX4
TRAF6	PTPRQ	DEFB135	DDX41
TRAK2	PTPRR	DEFB136	DDX42
TRAPPC10	PTPRT	DEFB4A	DDX43
TRAPPC2	PTPRU	DEFB4B	DDX46
TRAPPC9	PTPRZ1	DEGS1	DDX47
TRB	PTRF	DEGS2	DDX49
TRBV9	PTRH1	DEK	DDX5
TRDN	PTRH2	DENND1A	DDX50
TREM2	PTS	DENND1B	DDX51
TRERF1	PUS1	DENND1C	DDX52
TREX1	PUS10	DENND2A	DDX53
TRHR	PVR	DENND2C	DDX54
TRIB1	PVRL1	DENND2D	DDX55
TRIB3	PVRL3	DENND3	DDX56
TRIL	PVRL4	DENND4A	DDX58
TRIM17	PVT1	DENND4B	DDX59
TRIM21	PWRN1	DENND4C	DDX6
TRIM22	PXDN	DENND5A	DDX60
TRIM32	PXMP2	DENND5B	DDX60L
TRIM37	PYCR1	DENND6A	DEAF1
TRIM5	PYCRL	DENND6B	DEAR
TRIO	PYGL	DENR	Dec-01
TRIOBP	PYGM	DEPDC1	DECR1
TRIP11	PYY	DEPDC1B	DECR2
TRIP12	PZP	DEPDC4	DEDD
TRMT1	QDPR	DEPDC5	DEDD2
TRMU	QKI	DEPDC7	DEF6
TRD	RAB11FIP5	DEPTOR	DEF8
TROAP	RAB18	DERA	DEFA1
TROVE2	RAB23	DERL1	DEFA1B
TRPA1	RAB27A	DERL2	DEFA4
TRPC3	RAB28	DERL3	DEFA5
TRPC4	RAB2A	DES	DEFA6
TRPC5	RAB39B	DESI1	DEFB1
TRPC6	RAB3GAP1	DESI2	DEFB103A
TRPM1	RAB3GAP2	DET1	DEFB103B
TRPM2	RAB4B-EGLN2	DEXI	DEFB104A
TRPM3	RAB7A	DFFA	DEFB104B
TRPM4	RAB7L1	DFFB	DEFB105A
TRPM6	RABGGTA	DFNA5	DEFB105B
TRPM7	RABL6	DFNB31	DEFB106A
TRPS1	RAC1	DFNB59	DEFB106B
TRPV1	RAC2	DGAT1	DEFB107A
TRPV3	RAD1	DGAT2	DEFB107B
TRPV4	RAD21	DGAT2L6	DEFB108B
TRPV5	RAD21L1	DGCR11	DEFB109P1B
TRRAP	RAD23B	DGCR14	DEFB110
TSC1	RAD50	DGCR2	DEFB112
TSC2	RAD51	DGCR6	DEFB113
TSEN2	RAD51B	DGCR6L	DEFB114
TSEN34	RAD51C	DGCR8	DEFB115
TSEN54	RAD51D	DGKA	DEFB116
TSFM	RAD51L3-RFFL	DGKB	DEFB118
TSHB	RAD52	DGKD	DEFB119
TSHR	RAD54B	DGKE	DEFB121
TSHZ1	RAD54L	DGKG	DEFB123
TSLP	RAD9A	DGKH	DEFB124
TSPAN12	RAET1L	DGKI	DEFB125
TSPAN17	RAF1	DGKK	DEFB126
TSPAN7	RAG1	DGKQ	DEFB127
TSPO	RAG2	DGKZ	DEFB128
TSPYL1	RAI1	DGUOK	DEFB129
TSSC4	RALGAPA1	DGUOK-AS1	DEFB131
TSSK2	RALGAPA1P	DHCR24	DEFB132
TSSK3	RALGDS	DHCR7	DEFB133
TSSK4	RAMP3	DHDDS	DEFB134
TST	RANBP2	DHDH	DEFB135
TTBK2	RANGRF	DHFR	DEFB136
TTC19	RAPGEF1	DHFRL1	DEFB4A
TTC21B	RAPSN	DHH	DEFB4B
TTC37	RARA	DHODH	DEGS1
TTC8	RARA-AS1	DHPS	DEGS2
TTI2	RARB	DHRS1	DEK
TTLL11	RARS	DHRS11	DENND1A
TTN	RARS2	DHRS12	DENND1B
TTPA	RASA1	DHRS13	DENND1C
TTR	RASGRP2	DHRS2	DENND2A
TTTY13	RASSF1	DHRS3	DENND2C
TUBA1A	RASSF1-AS1	DHRS4	DENND2D
TUBA8	RASSF4	DHRS4-AS1	DENND3
TUBB1	RAX	DHRS4L1	DENND4A
TUBB2B	RAX2	DHRS4L2	DENND4B
TUBB3	RB1	DHRS7	DENND4C
TUBGCP4	RB1CC1	DHRS7B	DENND5A
TUBGCP5	RBBP8	DHRS7C	DENND5B
TUBGCP6	RBCK1	DHRS9	DENND6A
TUFM	RBFOX1	DHRSX	DENND6B
TULP1	RBM10	DHTKD1	DENR
TULP3	RBM12	DHX15	DEPDC1
TUSC3	RBM14	DHX16	DEPDC1-AS1
TWIST1	RBM14-RBM4	DHX29	DEPDC1B
TWIST2	RBM15	DHX30	DEPDC4
TXN2	RBM20	DHX32	DEPDC5
TXNRD2	RBM28	DHX33	DEPDC7
TYK2	RBM8A	DHX34	DEPTOR
TYMP	RBMXL2	DHX35	DERA
TYMS	RBP3	DHX36	DERL1
TYR	RBP4	DHX37	DERL2
TYROBP	RBPJ	DHX38	DERL3
TYRP1	RCAN1	DHX40	DES
UBA1	RCVRN	DHX57	DESI1
UBA3	RD3	DHX58	DESI2
UBAC2	RDH12	DHX8	DET1
UBD	RDH5	DHX9	DEXI
UBE2A	RDX	DIABLO	DFFA
UBE2B	RECQL4	DIAPH1	DFFB
UBE2I	REEP1	DIAPH2	DFNA5
UBE2NL	REEP2	DIAPH3	DFNB31
UBE3A	REG1A	DIAPH3-AS1	DFNB59
UBE3C	RELN	DICER1	DGAT1
UBIAD1	REN	DIDO1	DGAT2
UBN2	RENBP	DIEXF	DGAT2L6
UBQLN2	REPS2	DIMT1	DGCR11
UBR1	RET	DIO1	DGCR14
UBR3	RETN	DIO2	DGCR2
UBR7	REV3L	DIO2-AS1	DGCR6
UCHL1	REXO4	DIO3	DGCR6L
UCP1	RFC2	DIO3OS	DGCR8
UCP2	RFNG	DIP2A	DGKA
UCP3	RFT1	DIP2B	DGKB
UFD1L	RFWD2	DIP2C	DGKD
UGT1A1	RFX2	DIRAS1	DGKE
UGT1A10	RFX5	DIRAS2	DGKG
UGT1A3	RFX6	DIRAS3	DGKH
UGT1A4	RFX8	DIRC1	DGKI
UGT1A5	RFXANK	DIRC2	DGKK
UGT1A6	RFXAP	DIS3	DGKQ
UGT1A7	RGMA	DIS3L	DGKZ
UGT1A8	RGR	DIS3L2	DGUOK
UGT1A9	RGS2	DISC1	DGUOK-AS1
UGT2A1	RGS6	DISC2	DHCR24
UGT2A3	RGS7	DISP1	DHCR7
UGT2B10	RGS9	DISP2	DHDDS
UGT2B15	RGS9BP	DIXDC1	DHDH
UGT2B17	RHAG	DKC1	DHFR
UGT2B28	RHBDD2	DKFZP434A062	DHFRL1
UGT2B7	RHBDF2	DKFZP434H168	DHH
UHRF1BP1	RHCE	DKFZP434I0714	DHODH
UIMC1	RHD	DKFZP434K028	DHPS
UMOD	RHO	DKFZP434L187	DHRS1
UMPS	RHOB	DKFZp686K1684	DHRS11
UNC119	RHOBTB2	DKFZp779M0652	DHRS12
UNC13D	RHOG	DKK1	DHRS13
UNC5C	RHPN2	DKK2	DHRS2
UNC5CL	RIBC2	DKK3	DHRS3
UNC80	RIMS1	DKK4	DHRS4
UNC93A	RIMS3	DKKL1	DHRS4-AS1
UNC93B1	RIN2	DLAT	DHRS4L1
UNG	RIPK3	DLC1	DHRS4L2
UNKL	RIPK4	DLD	DHRS7
UPB1	RIT1	DLEC1	DHRS7B
UPF3B	RLBP1	DLEU1	DHRS7C
UPK3A	RLF	DLEU2L	DHRS9
UQCRB	RLIM	DLEU7	DHRSX
UQCRQ	RMI1	DLG1	DHTKD1
UROC1	RMND1	DLG2	DHX15
UROD	RMRP	DLG3	DHX16
UROS	RNASE2	DLG4	DHX29
USB1	RNASE3	DLG5	DHX30
USF1	RNASE4	DLG5-AS1	DHX32
USH1C	RNASEH2A	DLGAP1	DHX33
USH1G	RNASEH2B	DLGAP1-AS1	DHX34
USH2A	RNASEH2C	DLGAP2	DHX35
USP15	RNASEL	DLGAP3	DHX36
USP24	RNASET2	DLGAP4	DHX37
USP26	RNF113A	DLGAP5	DHX38
USP46	RNF114	DLK1	DHX40
USP7	RNF135	DLK2	DHX57
USP9X	RNF139	DLL1	DHX58
USP9Y	RNF168	DLL3	DHX8
UTF1	RNF170	DLL4	DHX9
UTRN	RNF212	DLST	DIABLO
UTS2	RNF213	DLX1	DIAPH1
UVSSA	RNF216	DLX2	DIAPH2
VAMP7	RNF6	DLX3	DIAPH3
VANGL1	RNLS	DLX4	DIAPH3-AS1
VANGL2	RNU4ATAC	DLX5	DICER1
VAPB	ROBO1	DLX6	DIDO1
VAX1	ROBO2	DMAP1	DIEXF
VCAM1	ROBO3	DMBT1	DIMT1
VCAN	ROCK1	DMBX1	DIO1
VCL	ROCK2	DMC1	DIO2
VCP	ROGDI	DMD	DIO2-AS1
VCX3A	ROM1	DMGDH	DIO3
VCY	ROPN1L	DMKN	DIO3OS
VDR	ROR2	DMP1	DIP2A
VEGFA	RORA	DMPK	DIP2B
VHL	ROS1	DMRT1	DIP2C
VIM	RP1	DMRT2	DIRAS1
VIMP	RP1L1	DMRT3	DIRAS2
VIP	RP2	DMRTA1	DIRAS3
VIPAS39	RP9	DMRTA2	DIRC1
VIPR2	RPA1	DMRTB1	DIRC2
VKORC1	RPA4	DMRTC1	DIS3
VLDLR	RPE65	DMRTC1B	DIS3L
VMA21	RPEL1	DMRTC2	DIS3L2
VNN1	RPGR	DMTF1	DISC1
VPREB1	RPGRIP1	DMTN	DISC2
VPS13A	RPGRIP1L	DMWD	DISP1
VPS13B	RPH3AL	DMXL1	DISP2
VPS33B	RPIA	DMXL2	DIXDC1
VPS35	RPL10	DNA2	DKC1
VRK1	RPL11	DNAAF1	DKFZP434A062
VSIG4	RPL15	DNAAF2	DKFZP434H168
VSX1	RPL21	DNAAF3	DKFZP434I0714
VSX2	RPL21P28	DNAH1	DKFZP434K028
VTN	RPL26	DNAH10	DKFZP434L187
VWF	RPL35A	DNAH11	DKFZp686K1684
WAS	RPL36	DNAH12	DKFZp779M0652
WASF3	RPL36A-HNRNPH2	DNAH14	DKK1
WDFY3	RPL5	DNAH17	DKK2
WDFY4	RPN2	DNAH17-AS1	DKK3
WDPCP	RPS10	DNAH2	DKK4
WDR11	RPS10-NUDT3	DNAH3	DKKL1
WDR13	RPS12	DNAH5	DLAT
WDR19	RPS14	DNAH6	DLC1
WDR35	RPS15	DNAH7	DLD
WDR36	RPS15A	DNAH8	DLEC1
WDR4	RPS19	DNAH9	DLEU1
WDR45	RPS2	DNAI1	DLEU2L
WDR45B	RPS24	DNAI2	DLEU7
WDR62	RPS26	DNAJA1	DLG1
WDR65	RPS27A	DNAJA2	DLG2
WDR72	RPS28	DNAJA3	DLG3
WDR81	RPS3	DNAJA4	DLG3-AS1
WFS1	RPS4X	DNAJB1	DLG4
WHSC1	RPS4Y1	DNAJB11	DLG5
WIPF1	RPS4Y2	DNAJB12	DLG5-AS1
WISP3	RPS6KA3	DNAJB13	DLGAP1
WNK1	RPS6KB1	DNAJB14	DLGAP1-AS1
WNK4	RPS6KL1	DNAJB2	DLGAP1-AS2
WNT10A	RPS7	DNAJB3	DLGAP2
WNT10B	RPSA	DNAJB4	DLGAP2-AS1
WNT3	RPTOR	DNAJB5	DLGAP3
WNT4	RRH	DNAJB6	DLGAP4
WNT5A	RRM1	DNAJB7	DLGAP5
WNT5B	RRM2B	DNAJB8	DLK1
WNT7A	RRP1B	DNAJB9	DLK2
WRAP53	RS1	DNAJC1	DLL1
WRN	RSC1A1	DNAJC10	DLL3
WT1	RSPH1	DNAJC11	DLL4
WT1-AS	RSPH3	DNAJC12	DLST
WWC1	RSPH4A	DNAJC13	DLX1
WWOX	RSPH9	DNAJC14	DLX2
XBP1	RSPO1	DNAJC15	DLX3
XDH	RSPO4	DNAJC16	DLX4
XIAP	RSRC1	DNAJC17	DLX5
XIST	RTEL1	DNAJC18	DLX6
XK	RTEL1-TNFRSF6B	DNAJC19	DMAP1
XKR4	RTN2	DNAJC2	DMBT1
XKRY	RTN4R	DNAJC21	DMBX1
XPA	RTTN	DNAJC22	DMC1
XPC	RUFY2	DNAJC24	DMD
XPNPEP2	RUNX1	DNAJC25	DMGDH
XPNPEP3	RUNX2	DNAJC25-GNG10	DMKN
XRCC1	RUNX3	DNAJC27	DMP1
XRCC2	RUVBL1	DNAJC28	DMPK
XRCC3	RUVBL2	DNAJC3	DMRT1
XRCC4	RXFP2	DNAJC30	DMRT2
XRCC5	RXRA	DNAJC4	DMRT3
XRCC6	RXRG	DNAJC5	DMRTA1
XYLT1	RYK	DNAJC5B	DMRTA2
XYLT2	RYR1	DNAJC5G	DMRTB1
YAP1	RYR2	DNAJC6	DMRTC1
YARS	RYR3	DNAJC7	DMRTC1B
YARS2	S100A14	DNAJC8	DMRTC2
YBX2	S100B	DNAJC9	DMTF1
YTHDF2	S100G	DNAJC9-AS1	DMTN
YWHAE	S1PR1	DNAL1	DMWD
YY1	SAA1	DNAL4	DMXL1
ZAN	SAA2	DNALI1	DMXL2
ZAP70	SACS	DNASE1	DNA2
ZBTB16	SAG	DNASE1L1	DNAAF1
ZBTB18	SAGE1	DNASE1L2	DNAAF2
ZBTB24	SALL1	DNASE1L3	DNAAF3
ZBTB40	SALL2	DNASE2	DNAAF5
ZBTB41	SALL4	DNASE2B	DNAH1
ZC3H14	SAMD9	DND1	DNAH10
ZC3H3	SAMHD1	DNER	DNAH11
ZC3HAV1	SAR1B	DNHD1	DNAH12
ZCCHC12	SARDH	DNLZ	DNAH14
ZCCHC13	SARM1	DNM1	DNAH17
