Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
ADRBK2	ADH6	ACADSB	ACADM
ADSL	ADH7	ACADVL	ACADS
ADTRP	ADHFE1	ACAN	ACADSB
AFF2	ADIPOQ	ACAP1	ACADVL
AFF3	ADIPOQ-AS1	ACAP2	ACAN
AFG3L2	ADIPOR1	ACAP3	ACAP1
AFP	ADIPOR2	ACAT1	ACAP2
AGA	ADK	ACAT2	ACAP3
AGBL4	ADM	ACBD3	ACAT1
AGER	ADNP	ACBD4	ACAT2
AGGF1	ADORA1	ACBD5	ACBD3
AGK	ADORA2A	ACBD6	ACBD4
AGL	ADORA3	ACBD7	ACBD5
AGMO	ADPRM	ACCS	ACBD6
AGO1	ADRA1A	ACCSL	ACBD7
AGO2	ADRA2A	ACD	ACCS
AGPAT2	ADRA2B	ACE	ACCSL
AGPS	ADRA2C	ACE2	ACD
AGRN	ADRB1	ACER1	ACE
AGRP	ADRB2	ACER2	ACE2
AGT	ADRB3	ACER3	ACER1
AGTR1	ADRBK2	ACHE	ACER2
AGTR2	ADSL	ACIN1	ACER3
AGXT	ADTRP	ACKR1	ACHE
AGXT2	AFF1	ACKR2	ACIN1
AHCY	AFF2	ACKR3	ACKR1
AHI1	AFF3	ACKR4	ACKR2
AHR	AFG3L2	ACLY	ACKR3
AHRR	AFP	ACMSD	ACKR4
AHSG	AGA	ACN9	ACLY
AHSP	AGBL1	ACO1	ACMSD
AICDA	AGBL4	ACO2	ACN9
AIF1	AGER	ACOT1	ACO1
AIFM1	AGGF1	ACOT11	ACO2
AIMP1	AGK	ACOT12	ACOT1
AIP	AGL	ACOT13	ACOT11
AIPL1	AGMO	ACOT2	ACOT12
AIRE	AGO1	ACOT4	ACOT13
AK1	AGO2	ACOT6	ACOT2
AK2	AGPAT2	ACOT7	ACOT4
AKAP10	AGPS	ACOT8	ACOT6
AKAP13	AGRN	ACOT9	ACOT7
AKAP2	AGRP	ACOX1	ACOT8
AKAP9	AGT	ACOX2	ACOT9
AKR1B1	AGTR1	ACOX3	ACOX1
AKR1C2	AGTR2	ACOXL	ACOX2
AKR1C3	AGXT	ACP1	ACOX3
AKR1C4	AGXT2	ACP2	ACOXL
AKR1D1	AHCY	ACP5	ACP1
AKR7A2	AHI1	ACP6	ACP2
AKR7A3	AHR	ACPP	ACP5
AKT1	AHRR	ACPT	ACP6
AKT2	AHSG	ACR	ACPP
AKT3	AHSP	ACRBP	ACPT
ALAD	AICDA	ACRC	ACR
ALAS2	AIF1	ACRV1	ACRBP
ALB	AIFM1	ACSBG1	ACRC
ALCAM	AIMP1	ACSBG2	ACRV1
ALDH16A1	AIP	ACSF2	ACSBG1
ALDH18A1	AIPL1	ACSF3	ACSBG2
ALDH1A1	AIRE	ACSL1	ACSF2
ALDH1A2	AK1	ACSL3	ACSF3
ALDH2	AK2	ACSL4	ACSL1
ALDH3A2	AK9	ACSL5	ACSL3
ALDH4A1	AKAP10	ACSL6	ACSL4
ALDH5A1	AKAP13	ACSM1	ACSL5
ALDH6A1	AKAP2	ACSM2A	ACSL6
ALDH7A1	AKAP3	ACSM2B	ACSM1
